time,acc,atrunc
57.66,-0.016306863,-0.016306863
57.664,-0.016906863,-0.016906863
57.668,-0.000206863,-0.000206863
57.672,-0.001406863,-0.001406863
57.676,0.009393137,0.009393137
57.681,0.014793137,0.014793137
57.685,0.000393137,0.000393137
57.689,-0.014506863,-0.014506863
57.693,0.023793137,0.02
57.697,0.008193137,0.008193137
57.702,-0.028306863,-0.02
57.706,-0.009206863,-0.009206863
57.71,-0.033106863,-0.02
57.714,0.019593137,0.019593137
57.718,0.016593137,0.016593137
57.723,0.005793137,0.005793137
57.727,-0.030706863,-0.02
57.731,-0.016906863,-0.016906863
57.735,-0.013306863,-0.013306863
57.739,0.027993137,0.02
57.744,0.006993137,0.006993137
57.748,0.017793137,0.017793137
57.752,-0.004406863,-0.004406863
57.756,0.017193137,0.017193137
57.761,-0.000206863,-0.000206863
57.765,-0.009806863,-0.009806863
57.769,-0.024106863,-0.02
57.773,-0.006206863,-0.006206863
57.777,-0.018706863,-0.018706863
57.782,-0.000206863,-0.000206863
57.786,-0.001406863,-0.001406863
57.79,-0.005006863,-0.005006863
57.794,-0.001406863,-0.001406863
57.798,-0.011606863,-0.011606863
57.803,-0.009806863,-0.009806863
57.807,-0.003206863,-0.003206863
57.811,0.010593137,0.010593137
57.815,0.017193137,0.017193137
57.819,-0.016906863,-0.016906863
57.824,-0.025906863,-0.02
57.828,-0.003206863,-0.003206863
57.832,0.003393137,0.003393137
57.836,-0.016906863,-0.016906863
57.84,-0.019306863,-0.019306863
57.845,-0.011006863,-0.011006863
57.849,-0.018106863,-0.018106863
57.853,0.011193137,0.011193137
57.857,0.007593137,0.007593137
57.861,0.030893137,0.02
57.866,0.012393137,0.012393137
57.87,-0.002606863,-0.002606863
57.874,-0.012206863,-0.012206863
57.878,0.014793137,0.014793137
57.882,0.015393137,0.015393137
57.887,-0.036106863,-0.02
57.891,-0.037906863,-0.02
57.895,0.006393137,0.006393137
57.899,-0.008606863,-0.008606863
57.903,-0.002606863,-0.002606863
57.908,0.005193137,0.005193137
57.912,-0.025306863,-0.02
57.916,-0.031306863,-0.02
57.92,-0.012806863,-0.012806863
57.924,-0.010406863,-0.010406863
57.929,-0.016306863,-0.016306863
57.933,0.016593137,0.016593137
57.937,-0.024706863,-0.02
57.941,0.020193137,0.02
57.945,0.015993137,0.015993137
57.95,-0.003206863,-0.003206863
57.954,0.000393137,0.000393137
57.958,0.015393137,0.015393137
57.962,-0.016306863,-0.016306863
57.966,-0.011606863,-0.011606863
57.971,-0.002006863,-0.002006863
57.975,0.012393137,0.012393137
