Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Snow_psf,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
174,58.69,375,120,1.92,Metal Panels,Modular,Gabled,42,Low,High,0.000688,2.184,0.971,1.664,1.664,1.658,1.465890308
175,111.83,390,240,1.297,Metal Panels,Modular,Gabled,42,Low,High,0.00017,2.168,0.989,2.293,2.291,2.296,1.799739878
176,143.93,435,300,1.92,Metal Panels,Modular,Monoslope,42,High,Low,0.000149,3.536,0.973,2.052,2.048,2.04,2.005926588
177,46.43,620,80,0.774,Metal Panels,Modular,Gabled,42,Low,High,0.000218,3.749,0.95,1.126,1.126,1.125,1.588839294
178,33.78,555,120,1.297,Metal Panels,Modular,Gabled,0,Low,Low,0.008565,1.148,0.924,1.731,1.73,1.735,1.397039381
179,120.82,660,240,0.857,Metal Panels,Modular,Monoslope,42,Low,High,3.54E-05,5.57,0.974,1.48,1.478,1.489,2.156888477
180,147.11,615,300,1.297,Metal Panels,Modular,Monoslope,42,Low,Low,7.47E-05,2.136,0.979,2.652,2.65,2.654,2.24015492
181,50.26,200,80,2.526,Concrete,Modular,Monoslope,0,High,High,0.000731,15.286,0.944,0.595,0.595,0.58,1.158773632
182,56.8,195,120,3.692,Concrete,Modular,Gabled,0,High,Low,0.005907,15.29,0.722,0.723,0.713,0.616,1.033865485
183,93.31,240,240,2.526,Concrete,Modular,Monoslope,0,High,Low,0.000257,28.244,0.938,0.603,0.6,0.581,1.473549364
184,180.67,255,300,3.692,Concrete,Modular,Monoslope,42,High,Low,5.15E-05,46.431,0.886,0.665,0.657,0.631,1.244142341
185,93.37,370,80,1.297,Concrete,Modular,Gabled,42,Low,Low,0.000754,2.093,0.991,2.139,2.138,2.136,1.678207219
186,113.1,375,120,1.92,Concrete,Modular,Gabled,42,Low,Low,0.000215,2.145,0.987,2.329,2.329,2.322,1.784723828
187,138.4,480,240,1.263,Concrete,Modular,Monoslope,0,High,High,2.21E-05,19.501,0.97,0.859,0.858,0.852,2.041907472
188,147.07,435,300,1.92,Concrete,Modular,Monoslope,0,High,Low,4.67E-05,19.938,0.945,0.884,0.881,0.868,2.01895605
189,111.54,560,80,0.873,Concrete,Modular,Monoslope,0,Low,High,6.65E-05,3.223,0.982,1.876,1.876,1.881,2.004511076
190,155.92,600,120,1.263,Concrete,Modular,Monoslope,42,Low,High,9.01E-06,4.28,0.969,1.938,1.938,1.93,2.262761512
191,143.16,570,240,0.873,Concrete,Modular,Gabled,0,Low,Low,0.000132,1.566,0.991,3.051,3.051,3.057,2.171859985
192,174.46,615,300,1.297,Concrete,Modular,Monoslope,0,High,High,4.68E-06,13.304,0.96,1.158,1.156,1.158,2.357730466
