Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
146,56.82,195,120,3.692,Metal Panels,Modular,Gabled,Low,Low,0.018888,10.857,0.879,0.77,0.764,0.732,1.03392372262895
147,60.12,420,240,1.846,Metal Panels,Modular,Gabled,Low,High,0.000842,5.505,0.972,1.039,1.035,1.057,1.52757780206443
148,138.46,217.5,300,3.692,Metal Panels,Modular,Gabled,High,Low,0.004654,10.11,0.873,1.282,1.27,1.183,1.19228531707016
149,22.36,380,80,1.297,Metal Panels,Modular,Monoslope,Low,High,0.002121,3.646,0.931,0.789,0.789,0.792,1.10179165545231
150,33.78,480,120,1.5,Metal Panels,Modular,Gabled,Low,High,0.000621,2.002,0.915,1.375,1.37,1.314,1.33749794956419
151,58.14,390,240,1.297,Metal Panels,Modular,Gabled,High,High,0.000846,2.402,0.979,1.568,1.566,1.573,1.47905645260524
152,143.05,397.5,300,1.92,Metal Panels,Modular,Gabled,High,Low,0.000846,3.878,0.972,1.952,1.949,1.942,1.94881385545203
153,42.73,550,80,0.873,Metal Panels,Modular,Gabled,Low,High,0.001205,2.7,0.942,1.262,1.261,1.272,1.49503560188797
154,36.23,600,120,1.263,Metal Panels,Modular,Monoslope,High,Low,0.003575,2.123,0.925,1.315,1.314,1.321,1.46045686821258
155,117.56,600,240,0.873,Metal Panels,Modular,Monoslope,Low,High,1.5e-05,4.414,0.976,1.647,1.645,1.65,2.0789598805113
156,145.02,577.5,300,1.297,Metal Panels,Modular,Gabled,Low,Low,0.000423,1.133,0.983,3.609,3.608,3.617,2.18885416388754
157,46.08,190,80,2.526,Concrete,Modular,Gabled,Low,Low,0.020675,3.995,0.962,1.108,1.107,1.086,1.11173859163804
158,61.13,210,120,3.692,Concrete,Modular,Monoslope,Low,High,0.000209,5.412,0.866,1.147,1.141,1.075,1.04608989430256
159,82.34,210,240,2.526,Concrete,Modular,Gabled,Low,Low,0.001455,6.926,0.983,1.108,1.106,1.103,1.36355263617988
